剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
青春忏悔录,2014,戴睿,,雷牧 / 王晶 / 王祉萱 / 彭新智,,中国大陆,30,22,6.4,55
追梦,2003,,,苏慧伦 / 吴奇隆 / 严宽 / 张茜,剧情 / 爱情,中国大陆,20,40,6.4,46
惊天阴谋,2009,潘军,,刘钧 / 施京明 / 朱婷 / 涂松岩,剧情 / 战争,中国大陆,32,40,6.4,43
海狼行动,2008,潘军,潘军,于震 / 施京明,,中国大陆,34,,6.4,114
夜隼,2011,宋业明,谭力 / 彭启羽,黄觉 / 刘德凯 / 丁柳元 / 郑卫莉 / 宋禹,剧情,中国大陆,30,,6.4,37
龙号机车,2016,英达,满昱,曹云金 / 俞惠子 / 姜超 / 刘金山 / 马羚 / 李建华 / 李琦 / 那威 / 颜冠英,剧情 / 喜剧,中国大陆,30,42,6.4,40
青春四十,2012,刘新,姚远,徐帆 / 陈小艺 / 剧雪 / 胡军 / 张博 / 何冰 / 王茜华 / 王亚楠 / 严敏求 / 龚丽君 / 韩青 / 李洪涛,剧情,中国大陆,26,,6.4,218
熊爸熊孩子,2017,麦贯之,王滔 / 孙阳 / 吴秋云,沙溢 / 刘峻喆 / 胡可 / 李佳航 / 李金铭 / 韩立 / 张熙媛 / 王博谷 / 梁家仁 / 苏瑾 / 巴图 / 党浩予,剧情 / 家庭,中国大陆,35,45,6.4,845
宝乐婶的烦心事,2012,顾克利,梅琳,李菁菁 / 雷婷 / 齐连春 / 陶昕然 / 徐广明 / 王红梅,剧情 / 喜剧,中国大陆,31,49,6.4,79
绣娘兰馨,2007,金鳌勋 / 黄伟杰,陈慧君 / 钟晓婷,秦岚 / 李宗翰 / 吕颂贤 / 岳跃利 / 潘仪君 / 姜鸿 / 保剑锋 / 林江国 / 郭珍霓 / 杜若溪 / 王岗 / 潘虹 / 翁虹,剧情 / 家庭,中国大陆,35,,6.4,320
在线爱,2011,杜童,,苍井空 Sola Aoi,剧情 / 爱情,中国大陆,13,,6.4,57
月上海,月上海,王永春,,周韵 / 吴浇浇 / 马光泽,,中国大陆,34,,6.4,51
第一种危机,2004,王永,,李小璐 / 冯绍峰 / 陶泽如 / 王庆祥,剧情,中国大陆,20,,6.4,56
五妹,2005,刘新和,,马伊俐,,中国大陆,25,40,6.4,57
